32.01.01.1001                                                             1 Pondok Rajeg
32.01.01.1002                                                             2 Karadenan
32.01.01.1003                                                             3 Harapanjaya
32.01.01.1004                                                             4 Nanggewer
32.01.01.1005                                                             5 Nanggewer Mekar
32.01.01.1006                                                             6 Cibinong
32.01.01.1007                                                             7 Pakansari
32.01.01.1008                                                             8 Tengah
32.01.01.1009                                                             9 Sukahati
32.01.01.1010                                                            10 Ciriung
32.01.01.1011                                                            11 Cirimekar
32.01.01.1012                                                            12 Pabuaran
32.01.01.1013                                                            13 Pabuaran Mekar                                                           pemekaran wil Kel Pabuaran, Perda No 11/2015
32.01.02.2001                                                                                       1 Wanaherang
32.01.02.2002                                                                                       2 Bojong Kulur
32.01.02.2003                                                                                       3 Ciangsana
32.01.02.2004                                                                                       4 Gunung Putri
32.01.02.2005                                                                                       5 Bojong Nangka
32.01.02.2006                                                                                       6 Tlajung Udik
32.01.02.2007                                                                                       7 Cicadas
32.01.02.2008                                                                                       8 Cikeas Udik
32.01.02.2009                                                                                       9 Nagrak
32.01.02.2010                                                                                      10 Karanggan
32.01.03.2001                                                                                       1 Puspasari
32.01.03.2002                                                                                   2 Citeureup
32.01.03.2003                                                                                   3 Leuwinutug                                   Koreksi penulisan Perda No. 3/2003
32.01.03.2004                                                                                   4 Tajur
32.01.03.2005                                                                                   5 Sanja
32.01.03.1006                                                        1 Puspanegara
32.01.03.1007                                                        2 Karang Asem Barat
32.01.03.2008                                                                                   6 Karang Asem Timur
32.01.03.2009                                                                                   7 Tarikolot
32.01.03.2010                                                                                   8 Gunungsari
32.01.03.2011                                                                                   9 Tangkil
32.01.03.2012                                                                                  10 Sukahati
32.01.03.2013                                                                                  11 Hambalang
32.01.03.2014                                                                                  12 Pasirmukti                                   Koreksi penulisan Perda No. 3/2003
32.01.04.2001                                                                                   1 Gununggeulis
32.01.04.2002                                                                                   2 Cilebut Timur
32.01.04.2003                                                                                   3 Cilebut Barat
32.01.04.2004                                                                                   4 Cibanon
32.01.04.2005                                                                                   5 Nagrak
32.01.04.2006                                                                                   6 Sukatani
32.01.04.2007                                                                                   7 Sukaraja
32.01.04.2008                                                                                   8 Cikeas
32.01.04.2009                                                                                   9 Pasir Jambu
32.01.04.2010                                                                                  10 Cimandala
32.01.04.2011                                                                                  11 Cijujung
32.01.04.2012                                                                                  12 Cadasngampar
32.01.04.2013                                                                                  13 Pasirlaja                                    Koreksi penulisan Perda No. 3/2003
32.01.05.2001                                                                                   1 Cijayanti
32.01.05.2002                                                                                   2 Sumurbatu
32.01.05.2003                                                                                   3 Sentul
32.01.05.2004                                                                                   4 Karangtengah                                 Koreksi penulisan Perda No. 3/2003
32.01.05.2005                                                                                   5 Cipambuan
32.01.05.2006                                                                                   6 Kadumanggu
32.01.05.2007                                                                       7 Citaringgul
32.01.05.2008                                                                       8 Babakan Madang
32.01.05.2009                                                                       9 Bojong Koneng
32.01.06.2001                                                                       1 Sukamaju
32.01.06.2002                                                                       2 Sirnagalih
32.01.06.2003                                                                       3 Singajaya                                   Koreksi penulisan Perda No. 3/2003
32.01.06.2004                                                                       4 Sukasirna
32.01.06.2005                                                                       5 Sukanegara
32.01.06.2006                                                                       6 Sukamanah
32.01.06.2007                                                                       7 Weninggalih
32.01.06.2008                                                                       8 Cibodas
32.01.06.2009                                                                       9 Jonggol
32.01.06.2010                                                                      10 Bendungan
32.01.06.2011                                                                      11 Singasari
32.01.06.2012                                                                      12 Balekambang
32.01.06.2013                                                                      13 Sukajaya
32.01.06.2014                                                                      14 Sukagalih
32.01.07.2001                                                                       1 Pasirangin
32.01.07.2002                                                                       2 Mekarsari
32.01.07.2003                                                                       3 Mampir
32.01.07.2004                                                                       4 Dayeuh
32.01.07.2005                                                                       5 Gandoang
32.01.07.2006                                                                       6 Jatisari
32.01.07.2007                                                                       7 Cileungsi Kidul
32.01.07.2008                                                                       8 Cipeucang
32.01.07.2009                                                                       9 Situsari
32.01.07.2010                                                                      10 Cipenjo
32.01.07.2011                                                                      11 Limusnunggal
32.01.07.2012                                                                      12 Cileungsi
32.01.08.2001                                                                       1 Karyamekar
32.01.08.2002                                                                       2 Babakanraden                                Koreksi penulisan Perda No. 3/2003
32.01.08.2003                                                                          3 Cikutamahi
32.01.08.2004                                                                          4 Kutamekar
32.01.08.2005                                                                          5 Cariu
32.01.08.2006                                                                          6 Mekarwangi
32.01.08.2007                                                                          7 Bantarkuning
32.01.08.2008                                                                          8 Sukajadi
32.01.08.2009                                                                          9 Tegalpanjang
32.01.08.2010                                                                         10 Cibatutiga
32.01.09.2001                                                                          1 Wargajaya
32.01.09.2002                                                                          2 Pabuaran
32.01.09.2003                                                                          3 Sukadamai
32.01.09.2004                                                                          4 Sukawangi
32.01.09.2005                                                                          5 Cibadak
32.01.09.2006                                                                          6 Sukaresmi
32.01.09.2007                                                                          7 Sukamulya
32.01.09.2008                                                                          8 Sukaharja
32.01.09.2009                                                                          9 Sirnajaya
32.01.09.2010                                                                         10 Sukamakmur
32.01.10.2001                                                                          1 Parung
32.01.10.2002                                                                          2 Iwul
32.01.10.2003                                                                          3 Bojongsempu
32.01.10.2004                                                                          4 Waru
32.01.10.2005                                                                          5 Cogreg
32.01.10.2006                                                                          6 Pamegarsari
32.01.10.2007                                                                          7 Warujaya
32.01.10.2008                                                                          8 Bojongindah
32.01.10.2009                                                                          9 Jabonmekar
32.01.11.2001                                                                          1 Cidokom
32.01.11.2002                                                                          2 Padurenan
32.01.11.2003                                                                          3 Pengasinan
32.01.11.2004                                                                          4 Curug
32.01.11.2005                                                                             5 Gunungsindur
32.01.11.2006                                                                             6 Jampang
32.01.11.2007                                                                             7 Cibadung
