36.01.01.2001                                                                             1 Sumberjaya
36.01.01.2002                                                                             2 Kertajaya
36.01.01.2003                                                                             3 Kertamukti
36.01.01.2004                                                                             4 Tunggaljaya
36.01.01.2005                                                                             5 Cigorondong
36.01.01.2006                                                                             6 Tamanjaya
36.01.01.2007                                                                             7 Ujungjaya
36.01.02.2001                                                                             1 Rancapinang
36.01.02.2002                                                                             2 Cibadak
36.01.02.2003                                                                             3 Tugu
36.01.02.2004                                                                             4 Batuhideung
36.01.02.2005                                                                             5 Padasuka
36.01.02.2006                                                                             6 Ciburial
36.01.02.2007                                                                             7 Cijaralang
36.01.02.2008                                                                             8 Cimanggu
36.01.02.2009                                                                             9 Mangkualam
36.01.02.2010                                                                            10 Tangkil Sari
36.01.02.2011                                                                            11 Waringin Kurung
36.01.02.2012                                                                            12 Kramatjaya
36.01.03.2001                                                                             1 Mendung
36.01.03.2006                                                                        2 Sudimanik
36.01.03.2007                                                                        3 Curug
36.01.03.2008                                                                        4 Cibingbin
36.01.03.2009                                                                        5 Sukajadi
36.01.03.2011                                                                        6 Mahendra
36.01.03.2012                                                                        7 Cibaliung
36.01.03.2015                                                                        8 Cihanjuang
36.01.03.2016                                                                        9 Sorongan
36.01.04.2001                                                                        1 Tanjungan
36.01.04.2002                                                                        2 Sumurbatu
36.01.04.2003                                                                        3 Sukawaris
36.01.04.2004                                                                        4 Rancaseneng
36.01.04.2005                                                                        5 Parungkokosan
36.01.04.2006                                                                        6 Nanggala
36.01.04.2007                                                                        7 Cikeusik
36.01.04.2008                                                                        8 Cikadongdong
36.01.04.2009                                                                        9 Curugciung
36.01.04.2010                                                                       10 Leuwibalang
36.01.04.2011                                                                       11 Sukaseneng
36.01.04.2012                                                                       12 Sukamulya
36.01.04.2013                                                                       13 Umbulan
36.01.04.2014                                                                       14 Cikiruhwetan
36.01.05.2001                                                                        1 Karangbolong
36.01.05.2002                                                                        2 Katumbiri
36.01.05.2003                                                                        3 Waringinjaya
36.01.05.2004                                                                        4 Karyabuana
36.01.05.2005                                                                      5 Tarumanagara
36.01.05.2006                                                                      6 Ciseureuheun
36.01.05.2007                                                                      7 Banyuasih
36.01.05.2009                                                                      8 Cigeulis
36.01.05.2010                                                                      9 Sinarjaya
36.01.06.2001                                                                      1 Panimbangjaya
36.01.06.2002                                                                      2 Mekarjaya
36.01.06.2004                                                                      3 Gombong
36.01.06.2009                                                                      4 Mekar Jaya
36.01.06.2011                                                                      5 Citeureup
36.01.06.2012                                                                      6 Tanjungjaya
36.01.07.2001                                                                      1 Angsana
36.01.07.2002                                                                      2 Padaherang
36.01.07.2003                                                                      3 Padamulya
36.01.07.2004                                                                      4 Karangsari
36.01.07.2005                                                                      5 Cikayas
