31.01.01.1001                                                                      1 Pulau Panggang
31.01.01.1002                                                                      2 Pulau Kelapa
31.01.01.1003                                                                      3 Pulau Harapan
31.01.02.1001                                                                      1 Pulau Untung Jawa
31.01.02.1002                                                                      2 Pulau Tidung
31.01.02.1003                                                                      3 Pulau Pari
31.71.01.1001                                                                      1 Gambir
31.71.01.1002                                                                      2 Cideng
31.71.01.1003                                                                      3 Petojo Utara
31.71.01.1004                                                                      4 Petojo Selatan
31.71.01.1005                                                                      5 Kebon Kelapa
31.71.01.1006                                                                      6 Duri Pulo
31.71.02.1001                                                                      1 Pasar Baru
31.71.02.1002                                                                      2 Karang Anyar
31.71.02.1003                                                                      3 Kartini
31.71.02.1004                                                                      4 Gunung Sahari Utara
31.71.02.1005                                                                      5 Mangga Dua Selatan
31.71.03.1001                                                                      1 Kemayoran
31.71.03.1002                                                                      2 Kebon Kosong
31.71.03.1003                                                       3 Harapan Mulia
31.71.03.1004                                                       4 Serdang
31.71.03.1005                                                       5 Gunung Sahari
31.71.03.1006                                                       6 Cempaka Baru
31.71.03.1007                                                       7 Sumur Batu
31.71.03.1008                                                       8 Utan Panjang
31.71.04.1001                                                       1 Senen
31.71.04.1002                                                       2 Kenari
31.71.04.1003                                                       3 Paseban
31.71.04.1004                                                       4 Kramat
31.71.04.1005                                                       5 Kwitang
31.71.04.1006                                                       6 Bungur
31.71.05.1001                                                       1 Cempaka Putih Timur
31.71.05.1002                                                       2 Cempaka Putih Barat
31.71.05.1003                                                       3 Rawasari
31.71.06.1001                                                       1 Menteng
31.71.06.1002                                                       2 Pegangsaan
31.71.06.1003                                                       3 Cikini
31.71.06.1004                                                       4 Gondangdia
31.71.06.1005                                                       5 Kebon Sirih
31.71.07.1001                                                       1 Gelora
31.71.07.1002                                                       2 Bendungan Hilir
31.71.07.1003                                                       3 Karet Tengsin
31.71.07.1004                                                       4 Petamburan
31.71.07.1005                                                       5 Kebon Melati
31.71.07.1006                                                       6 Kebon Kacang
31.71.07.1007                                                       7 Kampung Bali
31.71.08.1001                                                       1 Johar Baru
31.71.08.1002                                                       2 Kampung Rawa
31.71.08.1003                                                                    3 Galur
31.71.08.1004                                                                    4 Tanah Tinggi
31.72.01.1001                                                                    1 Penjaringan
31.72.01.1002                                                                    2 Kamal Muara
31.72.01.1003                                                                    3 Kapuk Muara
31.72.01.1004                                                                    4 Pejagalan
31.72.01.1005                                                                    5 Pluit
31.72.02.1001                                                                    1 Tanjung Priok
31.72.02.1002                                                                    2 Sunter Jaya
31.72.02.1003                                                                    3 Papanggo
31.72.02.1004                                                                    4 Sungai Bambu
31.72.02.1005                                                                    5 Kebon Bawang
31.72.02.1006                                                                    6 Sunter Agung
31.72.02.1007                                                                    7 Warakas
31.72.03.1001                                                                    1 Koja
31.72.03.1002                                                                    2 Tugu Utara
31.72.03.1003                                                                    3 Lagoa
31.72.03.1004                                                                    4 Rawa Badak Utara
31.72.03.1005                                                                    5 Tugu Selatan
31.72.03.1006                                                                    6 Rawa Badak Selatan
31.72.04.1001                                                                    1 Cilincing
31.72.04.1002                                                                    2 Sukapura
31.72.04.1003                                                                    3 Marunda
31.72.04.1004                                                                    4 Kalibaru
31.72.04.1005                                                                    5 Semper Timur
31.72.04.1006                                                                    6 Rorotan
31.72.04.1007                                                                    7 Semper Barat
31.72.05.1001                                                                        1 Pademangan Timur
31.72.05.1002                                                                        2 Pademangan Barat
31.72.05.1003                                                                        3 Ancol
31.72.06.1001                                                                        1 Kelapa Gading Timur
31.72.06.1002                                                                        2 Pegangsaan Dua
31.72.06.1003                                                                        3 Kelapa Gading Barat
31.73.01.1001                                                                        1 Cengkareng Barat
31.73.01.1002                                                                        2 Duri Kosambi
31.73.01.1003                                                                        3 Rawa Buaya
31.73.01.1004                                                                        4 Kedaung Kali Angke
31.73.01.1005                                                                        5 Kapuk
31.73.01.1006                                                                        6 Cengkareng Timur
31.73.02.1001                                                                        1 Grogol
31.73.02.1002                                                                        2 Tanjung Duren Utara
31.73.02.1003                                                                        3 Tomang
31.73.02.1004                                                                        4 Jelambar
31.73.02.1005                                                                        5 Tanjung Duren
31.73.02.1006                                                                        6 Jelambar Baru
31.73.02.1007                                                                        7 Wijaya Kusuma
31.73.03.1001                                                                        1 Taman Sari
31.73.03.1002                                                                        2 Krukut
31.73.03.1003                                                                        3 Maphar
31.73.03.1004                                                                        4 Tangki
31.73.03.1005                                                                        5 Mangga Besar
31.73.03.1006                                                                        6 Keagungan
31.73.03.1007                                                                        7 Glodok
31.73.03.1008                                                                        8 Pinangsia
