33.01.01.2001                                                                             1 Tambakreja
33.01.01.2002                                                                             2 Bumireja
33.01.01.2003                                                                             3 Ciklapa
33.01.01.2004                                                                             4 Kedungreja
33.01.01.2005                                                                             5 Tambaksari
33.01.01.2006                                                                             6 Rejamulya
33.01.01.2007                                                                             7 Sidanegara
33.01.01.2008                                                                             8 Kaliwungu
33.01.01.2009                                                                             9 Jatisari
33.01.01.2010                                                                            10 Bangunreja
33.01.01.2011                                                                            11 Bojongsari
33.01.02.2001                                                                             1 Menganti
33.01.02.2002                                                                             2 Slarang
33.01.02.2003                                                                             3 Kesugihan
33.01.02.2004                                                                             4 Kalisabuk
33.01.02.2005                                                                             5 Karangkandri
33.01.02.2006                                                                             6 Kuripan
33.01.02.2007                                                                             7 Dondong
33.01.02.2008                                                                             8 Planjan
33.01.02.2009                                                                             9 Ciwuni
33.01.02.2010                                                                            10 Karangjengkol
33.01.02.2011                                                                            11 Keleng
33.01.02.2012                                                                            12 Pesanggrahan
33.01.02.2013                                                                            13 Bulupayung
33.01.02.2014                                                                            14 Kuripan Kidul
33.01.02.2015                                                                      15 Jangrana
33.01.02.2016                                                                      16 Kesugihan Kidul
33.01.03.2001                                                                       1 Welahan Wetan
33.01.03.2002                                                                       2 Glempangpasir
33.01.03.2003                                                                       3 Pedasong
33.01.03.2004                                                                       4 Karangbenda
33.01.03.2005                                                                       5 Karanganyar
33.01.03.2006                                                                       6 Bunton
33.01.03.2007                                                                       7 Wlahar
33.01.03.2008                                                                       8 Penggalang
33.01.03.2009                                                                       9 Adipala
33.01.03.2010                                                                      10 Adireja Kulon
33.01.03.2011                                                                      11 Adireja Wetan
33.01.03.2012                                                                      12 Adiraja
33.01.03.2013                                                                      13 Doplang
33.01.03.2014                                                                      14 Kalikudi
33.01.03.2015                                                                      15 Karangsari
33.01.03.2016                                                                      16 Gombolharjo
33.01.04.2001                                                                       1 Jati
33.01.04.2002                                                                       2 Kepudang
33.01.04.2003                                                                       3 Jepara Kulon
33.01.04.2004                                                                       4 Widarapayung Kulon
33.01.04.2005                                                                       5 Jepara Wetan
33.01.04.2006                                                                       6 Bangkal
33.01.04.2007                                                                       7 Binangun
33.01.04.2008                                                                       8 Widarapayung Wetan
33.01.04.2009                                                                       9 Alangamba
33.01.04.2010                                                                      10 Pasuruhan
33.01.04.2011                                                                      11 Sidaurip
33.01.04.2012                                                                      12 Pagubugan
33.01.04.2013                                                                      13 Pesawahan
33.01.04.2014                                                                      14 Kemojing
33.01.04.2015                                                                      15 Karangnangka
33.01.04.2016                                                                      16 Sidayu
33.01.04.2017                                                                      17 Pagubugan Kulon
33.01.05.2001                                                                       1 Karangtawang
33.01.05.2002                                                                       2 Karangpakis
33.01.05.2003                                                                       3 Banjarsari
33.01.05.2004                                                                       4 Jetis
33.01.05.2005                                                                       5 Banjareja
33.01.05.2006                                                                       6 Kedungbenda
33.01.05.2007                                                                       7 Klumprit
33.01.05.2008                                                                       8 Karangsembung
33.01.05.2009                                                                       9 Purwodadi
33.01.05.2010                                                                      10 Nusawangkal
33.01.05.2011                                                                      11 Karangputat
33.01.05.2012                                                                      12 Banjarwaru
33.01.05.2013                                                                      13 Danasri Kidul
33.01.05.2014                                                                      14 Nusawungu
33.01.05.2015                                                                      15 Danasri Lor
33.01.05.2016                                                                      16 Danasri
33.01.05.2017                                                                      17 Sikanco
33.01.06.2001                                                                       1 Sikampuh
33.01.06.2002                                                                       2 Pekuncen
33.01.06.2003                                                                       3 Ayamalas
33.01.06.2004                                                                       4 Pesanggrahan
33.01.06.2005                                                                       5 Kroya
33.01.06.2006                                                                       6 Karangmangu
33.01.06.2007                                                                       7 Pucung Kidul
33.01.06.2008                                                                       8 Mergawati
33.01.06.2009                                                                       9 Pucung Lor
33.01.06.2010                                                                      10 Bajing
33.01.06.2011                                                                      11 Gentasari
33.01.06.2012                                                                      12 Kedawung
33.01.06.2013                                                                      13 Mujur
33.01.06.2014                                                                      14 Buntu
33.01.06.2015                                                                      15 Karangturi
33.01.06.2016                                                                      16 Bajing Kulon
33.01.06.2017                                                                      17 Mujur Lor
33.01.07.2001                                                                       1 Karangkemiri
33.01.07.2002                                                                       2 Karangrena
33.01.07.2003                                                                       3 Maos Kidul
33.01.07.2004                                                                       4 Maos Lor
33.01.07.2005                                                                       5 Kalijaran
33.01.07.2006                                                                       6 Mernek
33.01.07.2007                                                                       7 Panisihan
33.01.07.2008                                                                       8 Glempang
33.01.07.2009                                                                       9 Karangreja
33.01.07.2010                                                                      10 Klapagada
33.01.08.2001                                                                       1 Tritih Wetan
33.01.08.2002                                                                       2 Sumingkir
33.01.08.2003                                                                       3 Jeruklegi Wetan
33.01.08.2004                                                                       4 Brebeg
33.01.08.2005                                                                       5 Jeruklegi Kulon
33.01.08.2006                                                                       6 Cilibang
33.01.08.2007                                                                       7 Mandala
33.01.08.2008                                                                       8 Karangkemiri
33.01.08.2009                                                                       9 Jambusari
33.01.08.2010                                                                      10 Prapagan
33.01.08.2011                                                                      11 Sawangan
33.01.08.2012                                                                      12 Citepus
33.01.08.2013                                                                      13 Tritih Lor
33.01.09.2001                                                                       1 Grugu
33.01.09.2002                                                                       2 Bringkeng
33.01.09.2003                                                                       3 Ujungmanik
33.01.09.2004                                                                          4 Kubangkangkung
33.01.09.2005                                                                          5 Bojong
33.01.09.2006                                                                          6 Mentasan
33.01.09.2007                                                                          7 Kalijeruk
33.01.09.2008                                                                          8 Kawunganten
33.01.09.2009                                                                          9 Sarwadadi
33.01.09.2010                                                                         10 Kawunganten Lor
33.01.09.2014                                                                         11 Babakan
33.01.09.2015                                                                         12 Sidaurip
33.01.10.2001                                                                          1 Gandrungmangu
33.01.10.2002                                                                          2 Gandrungmanis
33.01.10.2003                                                                          3 Cisumur
33.01.10.2004                                                                          4 Karanganyar
33.01.10.2005                                                                          5 Cinangsi
33.01.10.2006                                                                          6 Karanggintung
33.01.10.2007                                                                          7 Rungkang
33.01.10.2008                                                                          8 Sidaurip
33.01.10.2009                                                                          9 Gintungreja
33.01.10.2010                                                                         10 Layansari
33.01.10.2011                                                                         11 Bulusari
33.01.10.2012                                                                         12 Muktisari
33.01.10.2013                                                                         13 Wringinharjo
33.01.10.2014                                                                         14 Kertajaya
33.01.11.2001                                                                          1 Tinggarjaya
33.01.11.2002                                                                          2 Sidareja
33.01.11.2003                                                                          3 Sidamulya
33.01.11.2004                                                                          4 Kunci
33.01.11.2005                                                                          5 Karanggedang
33.01.11.2006                                                                          6 Penyarang
33.01.11.2007                                                                         7 Tegalsari
33.01.11.2008                                                                         8 Margasari
33.01.11.2009                                                                         9 Gunungreja
33.01.11.2010                                                                        10 Sudagaran
33.01.12.2001                                                                         1 Cidadap
33.01.12.2002                                                                         2 Pangawaren
33.01.12.2003                                                                         3 Gunungtelu
33.01.12.2004                                                                         4 Sindangbarang
33.01.12.2005                                                                         5 Karangpucung
33.01.12.2006                                                                         6 Ciporos
33.01.12.2007                                                                         7 Tayem
33.01.12.2008                                                                         8 Bengbulang
33.01.12.2009                                                                         9 Surusunda
33.01.12.2010                                                                        10 Babakan
33.01.12.2011                                                                        11 Ciruyung
33.01.12.2012                                                                        12 Pamulihan
33.01.12.2013                                                                        13 Tayem Timur
33.01.12.2014                                                                        14 Sidamulya
33.01.13.2001                                                                         1 Panimbang
33.01.13.2002                                                                         2 Bantarmangu
33.01.13.2003                                                                         3 Bantarpanjang
33.01.13.2004                                                                         4 Cimanggu
33.01.13.2005                                                                         5 Cilempuyang
33.01.13.2006                                                                         6 Negarajati
33.01.13.2007                                                                         7 Cisalak
33.01.13.2008                                                                         8 Cibalung
33.01.13.2009                                                                         9 Karangsari
33.01.13.2010                                                                        10 Kutabima
33.01.13.2011                                                                        11 Pesahangan
33.01.13.2012                                                                        12 Cijati
33.01.13.2013                                                                        13 Karangreja
33.01.13.2014                                                                        14 Rejodadi
33.01.13.2015                                                                       15 Mandala
33.01.14.2001                                                                        1 Pahonjean
33.01.14.2002                                                                        2 Salebu
33.01.14.2003                                                                        3 Cibeunying
33.01.14.2004                                                                        4 Jenang
33.01.14.2005                                                                        5 Sindangsari
33.01.14.2006                                                                        6 Cilopadang
