35.01.01.2001                                                                             1 Widoro
35.01.01.2002                                                                             2 Sawahan
35.01.01.2003                                                                             3 Kalak
35.01.01.2004                                                                             4 Sendang
35.01.01.2005                                                                             5 Klepu
35.01.01.2006                                                                             6 Gedompol
35.01.01.2007                                                                             7 Cemeng
35.01.01.2008                                                                             8 Gendaran
35.01.01.2009                                                                             9 Sukodono
35.01.01.2010                                                                            10 Sekar
35.01.01.2011                                                                            11 Donorojo
35.01.01.2012                                                                            12 Belah
35.01.02.2001                                                                             1 Dersono
35.01.02.2002                                                                             2 Sugihwaras
35.01.02.2003                                                                             3 Watukarung
35.01.02.2004                                                                             4 Jlubang
35.01.02.2005                                                                             5 Candi
35.01.02.2006                                                                             6 Poko
35.01.02.2007                                                                             7 Dadapan
35.01.02.2008                                                                             8 Pringkuku
35.01.02.2009                                                                             9 Sobo
35.01.02.2010                                                                            10 Ngadirejan
35.01.02.2011                                                                            11 Glinggangan
35.01.02.2012                                                                            12 Pelem
35.01.02.2013                                                                            13 Tamanasri
35.01.03.2001                                                                               1 Bomo
35.01.03.2002                                                                               2 Sooka                                     Perbaikan nama, Srt Bupati No 100/885/408.11/2015 tgl 14 Sep
35.01.03.2003                                                                               3 Punung
35.01.03.2004                                                                               4 Mendolo Kidul
35.01.03.2005                                                                               5 Piton
35.01.03.2006                                                                               6 Kendal
35.01.03.2007                                                                               7 Wareng
35.01.03.2008                                                                               8 Mantren
35.01.03.2009                                                                               9 Mendolo Lor
35.01.03.2010                                                                              10 Ploso
35.01.03.2011                                                                              11 Gondosari
35.01.03.2012                                                                              12 Kebonsari
35.01.03.2013                                                                              13 Tinatar
35.01.04.1001                                                     1 Sidoharjo
35.01.04.1002                                                     2 Ploso
35.01.04.2003                                                                               1 Kembang
35.01.04.2004                                                                               2 Sukoharjo
35.01.04.2005                                                                               3 Kayen
35.01.04.2006                                                                               4 Sirnoboyo
35.01.04.2007                                                                               5 Arjowinangun
35.01.04.1008                                                     3 Baleharjo
35.01.04.2009                                                                               6 Bangunsari
35.01.04.2010                                                                               7 Sedeng
35.01.04.2011                                                                               8 Sumberharjo
35.01.04.1012                                                     4 Pucangsewu                                                          Perbaikan nama, Srt No 100/885/408.11/2015 tgl 14 Sep 2015
35.01.04.1013                                                     5 Pacitan
35.01.04.2014                                                                               9 Tanjungsari
35.01.04.2015                                                                              10 Menadi
35.01.04.2016                                                                              11 Mentoro
35.01.04.2017                                                                              12 Purworejo
35.01.04.2018                                                                              13 Nanggungan
35.01.04.2019                                                                              14 Widoro
35.01.04.2020                                                                       15 Semanten                                 Koreksi nama, Surat Bup No 100/885/408.11/2015 tgl 14
35.01.04.2021                                                                       16 Sambong
35.01.04.2022                                                                       17 Banjarsari
35.01.04.2023                                                                       18 Bolosingo
35.01.04.2024                                                                       19 Ponggok
35.01.04.2025                                                                       20 Tambakrejo
35.01.05.2001                                                                        1 Plumbungan
35.01.05.2002                                                                        2 Karangnongko
35.01.05.2003                                                                        3 Kalipelus
35.01.05.2004                                                                        4 Karanganyar
35.01.05.2005                                                                        5 Katipugal
35.01.05.2006                                                                        6 Klesem
35.01.05.2007                                                                        7 Sidomulyo
35.01.05.2008                                                                        8 Worawari
35.01.05.2009                                                                        9 Mantren
35.01.05.2010                                                                       10 Gawang
35.01.05.2011                                                                       11 Kebonagung
35.01.05.2012                                                                       12 Purwoasri
35.01.05.2013                                                                       13 Banjarjo
35.01.05.2014                                                                       14 Gembuk
35.01.05.2015                                                                       15 Sanggrahan
35.01.05.2016                                                                       16 Punjung
35.01.05.2017                                                                       17 Wonogondo
35.01.05.2018                                                                       18 Ketepung
35.01.05.2019                                                                       19 Ketro
35.01.06.2001                                                                        1 Mlati
35.01.06.2002                                                                        2 Sedayu
35.01.06.2003                                                                        3 Tremas
35.01.06.2004                                                                        4 Arjosari
35.01.06.2005                                                                        5 Gunungsari
35.01.06.2006                                                                        6 Pagutan
35.01.06.2007                                                                        7 Gembong
35.01.06.2008                                                                       8 Borang
35.01.06.2009                                                                       9 Gegeran
35.01.06.2010                                                                      10 Kedungbendo
35.01.06.2011                                                                      11 Mangunharjo
35.01.06.2012                                                                      12 Jetiskidul
35.01.06.2013                                                                      13 Temon
35.01.06.2014                                                                      14 Karanggede
35.01.06.2015                                                                      15 Gayuhan
35.01.06.2016                                                                      16 Karangrejo
35.01.06.2017                                                                      17 Jatimalang
35.01.07.2001                                                                       1 Gondang
35.01.07.2002                                                                       2 Mujing
35.01.07.2003                                                                       3 Sempu
35.01.07.2004                                                                       4 Nawangan
35.01.07.2005                                                                       5 Tokawi
35.01.07.2006                                                                       6 Jetis Lor
35.01.07.2007                                                                       7 Penggung
35.01.07.2008                                                                       8 Pakis Baru
35.01.07.2009                                                                       9 Ngromo
35.01.08.2001                                                                       1 Petungsinarang
35.01.08.2002                                                                       2 Ngunut
35.01.08.2003                                                                       3 Bandar
35.01.08.2004                                                                       4 Kledung
35.01.08.2005                                                                       5 Tumpuk
35.01.08.2006                                                                       6 Watupatok
35.01.08.2007                                                                       7 Bangunsari
35.01.08.2008                                                                       8 Jeruk
35.01.09.2001                                                                       1 Kebondalem
35.01.09.2002                                                                       2 Gedangan
35.01.09.2003                                                                       3 Ngreco
35.01.09.2004                                                                       4 Kasihan
35.01.09.2005                                                                        5 Pucangombo
35.01.09.2006                                                                        6 Gemaharjo
35.01.09.2007                                                                        7 Ploso
35.01.09.2008                                                                        8 Tegalombo
35.01.09.2009                                                                        9 Kemuning
35.01.09.2010                                                                       10 Tahunan
