61.01.01.2001                                                                            1 Dalam Kaum
61.01.01.2002                                                                            2 Lubuk Dagang
61.01.01.2003                                                                            3 Tanjung Bugis
61.01.01.2004                                                                            4 Pendawan
61.01.01.2005                                                                            5 Pasar Melayu
61.01.01.2006                                                                            6 Durian
61.01.01.2007                                                                            7 Lorong
61.01.01.2008                                                                            8 Jagur
61.01.01.2009                                                                            9 Tumuk Manggis
61.01.01.2010                                                                           10 Tanjung Mekar
61.01.01.2011                                                                           11 Sebayan
61.01.01.2012                                                                           12 Kartiasa
61.01.01.2013                                                                           13 Saing Rambi
61.01.01.2014                                                                           14 Lumbang
61.01.01.2015                                                                           15 Sungai Rambah
61.01.01.2023                                                                           16 Gapura
61.01.01.2024                                                                           17 Sumber Harapan
61.01.01.2029                                                                        18 Semangau
61.01.02.2001                                                                         1 Sungai Kumpai
61.01.02.2002                                                                         2 Sekura
61.01.02.2003                                                                         3 Tri Mandayan
61.01.02.2004                                                                         4 Pedada
61.01.02.2005                                                                         5 Lela
61.01.02.2006                                                                         6 Puringan
61.01.02.2007                                                                         7 Berlimang
61.01.02.2008                                                                         8 Sungai Baru
61.01.02.2009                                                                         9 Sengawang
61.01.02.2010                                                                        10 Teluk Kaseh
61.01.02.2011                                                                        11 Sepadu
61.01.02.2012                                                                        12 Tambatan
61.01.02.2013                                                                        13 Kubangga
61.01.02.2020                                                                        14 Sungai Serabek
61.01.02.2021                                                                        15 Sayang Sedayu
61.01.02.2022                                                                        16 Pipit Teja
61.01.02.2024                                                                        17 Matang Segantar
61.01.02.2025                                                                        18 Mulia
61.01.02.2026                                                                        19 Teluk Kumbang
61.01.02.2027                                                                        20 Samustida
61.01.02.2028                                                                        21 Tanjung Kerucut
61.01.02.2029                                                                        22 Sebagu
61.01.02.2030                                                                        23 Mekar Sekuntum
61.01.02.2031                                                                      24 Kuala Pangkalan
61.01.02.2032                                                                      25 Sabing                                       Pemekaran sebagian wil Desa Mekar Sekuntum Perda No. 5/2012
61.01.03.2001                                                                       1 Sarang Burung Danau
61.01.03.2002                                                                       2 Sungai Nilam
61.01.03.2003                                                                       3 Sarang Burung Kolam
61.01.03.2004                                                                       4 Sarang Burung Usrat
61.01.03.2005                                                                       5 Sarang Burung Kuala
61.01.03.2006                                                                       6 Pelimpaan
61.01.03.2007                                                                       7 Parit Setia
61.01.03.2008                                                                       8 Bakau
61.01.03.2009                                                                       9 Sungai Nyirih
61.01.03.2010                                                                      10 Sentebang
61.01.03.2011                                                                      11 Dungun Laut
61.01.03.2021                                                                      12 Lambau                                       Pemekaran sebagian wil Desa Pelimpaan Perda No. 5/2012
61.01.03.2022                                                                      13 Mutus Darussalam                             Pemekaran sebagian wil Desa Sarang Burung Kolam Perda No.
61.01.04.2001                                                                       1 Tebas Kuala
61.01.04.2002                                                                       2 Tebas Sungai
61.01.04.2003                                                                       3 Sempalai
61.01.04.2004                                                                       4 Bekut
61.01.04.2005                                                                       5 Seberkat
61.01.04.2006                                                                       6 Sejiram
61.01.04.2007                                                                       7 Makrampai
61.01.04.2008                                                                       8 Mekar Sekuntum
61.01.04.2009                                                                       9 Mensere
61.01.04.2010                                                                      10 Pusaka
61.01.04.2011                                                                      11 Segedong
61.01.04.2012                                                                      12 Sungai Kelambu
61.01.04.2013                                                                      13 Serumpun Buluh
61.01.04.2014                                                                      14 Pangkalan Kongsi
61.01.04.2015                                                                      15 Dungun Perapakan
61.01.04.2016                                                                      16 Batu Makjage
61.01.04.2017                                                                      17 Serindang
61.01.04.2018                                                                      18 Bukit Sigoler
61.01.04.2019                                                                      19 Matang Labong
61.01.04.2020                                                                      20 Maktangguk
61.01.04.2021                                                                      21 Segarau Parit
61.01.04.2022                                                                      22 Maribas
61.01.04.2023                                                                      23 Seret Ayon
61.01.05.2001                                                                       1 Pemangkat Kota
61.01.05.2002                                                                       2 Harapan
61.01.05.2003                                                                       3 Penjajap
61.01.05.2005                                                                       4 Jelutung
61.01.05.2013                                                                       5 Perapakan
61.01.05.2016                                                                       6 Sebatuan                                    Pemekaran sebagian wil Desa Pemangkat Kota dan Desa Jelutung
61.01.05.2017                                                                       7 Gugah Sejahtera                             Pemekaran sebagian wil Desa Harapan Perda No. 5/2012
61.01.05.2018                                                                       8 Lonam                                       Pemekaran sebagian wil Desa Harapan Perda No. 5/2012
61.01.06.2001                                                                       1 Sulung
61.01.06.2002                                                                       2 Penakalan
61.01.06.2003                                                                       3 Sekuduk
61.01.06.2004                                                                       4 Setalik
61.01.06.2005                                                                       5 Parit Raja
61.01.06.2006                                                                       6 Piantus
61.01.06.2007                                                                       7 Perigi Landu
61.01.06.2008                                                                       8 Sendoyan
61.01.06.2009                                                                       9 Senujuh
61.01.06.2010                                                                      10 Perigi Limus
61.01.06.2011                                                                      11 Semangga
61.01.06.2012                                                                      12 Sepantai
61.01.07.2001                                                                       1 Semelagi Besar
61.01.07.2002                                                                       2 Sungai Daun
61.01.07.2003                                                                       3 Sungai Rusa
61.01.07.2004                                                                       4 Sungai Nyirih
61.01.07.2005                                                                       5 Kuala
61.01.07.2006                                                                       6 Parit Baru
61.01.07.2007                                                                       7 Twi Mentibar
61.01.07.2008                                                                       8 Bentunai
61.01.07.2013                                                                       9 Pangkalan Bemban
