34.01.01.2001                                                                                          1 Jangkaran
34.01.01.2002                                                                                          2 Sindutan
34.01.01.2003                                                                                          3 Palihan
34.01.01.2004                                                                                          4 Glagah
34.01.01.2005                                                                                          5 Kalidengen
34.01.01.2006                                                                                          6 Plumbon
34.01.01.2007                                                                                          7 Kedundang
34.01.01.2008                                                                                          8 Demen
34.01.01.2009                                                                                          9 Kulur
34.01.01.2010                                                                                         10 Kaligintung
34.01.01.2011                                                                                         11 Temon Wetan
34.01.01.2012                                                                                         12 Temon Kulon
34.01.01.2013                                                                                         13 Kebonrejo
34.01.01.2014                                                                                         14 Janten
34.01.01.2015                                                                                         15 Karangwuluh
34.01.02.2001                                                                                          1 Karangwuni
34.01.02.2002                                                                                          2 Sogan
34.01.02.2003                                                                                          3 Kulwaru
34.01.02.2004                                                                                          4 Ngestiharjo
34.01.02.2005                                                                                          5 Bendungan
34.01.02.2006                                                                                          6 Triharjo
34.01.02.2007                                                                                          7 Giripeni
34.01.02.1008                                                                  1 Wates                                                             Peningkatan status Kelurahan Perda No. 9/2009
34.01.03.2001                                                                                          1 Garongan
34.01.03.2002                                                                       2 Pleret
34.01.03.2003                                                                       3 Bugel
34.01.03.2004                                                                       4 Kanoman
34.01.03.2005                                                                       5 Depok
34.01.03.2006                                                                       6 Bojong
34.01.03.2007                                                                       7 Tayuban
34.01.03.2008                                                                       8 Gotakan
34.01.03.2009                                                                       9 Panjatan
34.01.03.2010                                                                      10 Cerme
34.01.03.2011                                                                      11 Krembangan
34.01.04.2001                                                                       1 Banaran
34.01.04.2002                                                                       2 Kranggan
34.01.04.2003                                                                       3 Nomporejo
34.01.04.2004                                                                       4 Karangsewu
34.01.04.2005                                                                       5 Tirtorahayu
34.01.04.2006                                                                       6 Pandowan
34.01.04.2007                                                                       7 Brosot
34.01.05.2001                                                                       1 Wahyuharjo
34.01.05.2002                                                                       2 Bumirejo
34.01.05.2003                                                                       3 Jatirejo
34.01.05.2004                                                                       4 Sidorejo
34.01.05.2005                                                                       5 Gulurejo
34.01.05.2006                                                                       6 Ngentakrejo
34.01.06.2001                                                                       1 Demangrejo
34.01.06.2002                                                                       2 Srikayangan
34.01.06.2003                                                                       3 Tuksono
34.01.06.2004                                                                       4 Salamrejo
34.01.06.2005                                                                       5 Sukoreno
34.01.06.2006                                                                       6 Kaliagung
34.01.06.2007                                                                       7 Sentolo
34.01.06.2008                                                                       8 Banguncipto
34.01.07.2001                                                                       1 Tawangsari
34.01.07.2002                                                                       2 Karangsari
34.01.07.2003                                                                       3 Kedungsari
34.01.07.2004                                                                       4 Margosari
34.01.07.2005                                                                       5 Pengasih
34.01.07.2006                                                                       6 Sendangsari
34.01.07.2007                                                                       7 Sidomulyo
34.01.08.2001                                                                       1 Hargomulyo
34.01.08.2002                                                                       2 Hargorejo
34.01.08.2003                                                                       3 Hargowilis
34.01.08.2004                                                                       4 Kalirejo
34.01.08.2005                                                                       5 Hargotirto
34.01.09.2001                                                                       1 Jatimulyo
34.01.09.2002                                                                       2 Giripurwo
34.01.09.2003                                                                       3 Pendoworejo
34.01.09.2004                                                                       4 Purwosari
34.01.10.2001                                                                       1 Banyuroto
34.01.10.2002                                                                       2 Donomulyo
34.01.10.2003                                                                       3 Wijimulyo
34.01.10.2004                                                                       4 Tanjungharjo
